Urban Area State,Composite,Grocery,Housing,Utilities,Transportation,Health Care,Misc,Median Income,Temp Median Income,,
Anniston-Calhoun County AL,88.4,93.2,72.8,103.2,90.1,83.1,95.4,31399,44200,,
Auburn-Opelika AL,97.9,104.8,82.3,95.4,93.2,92.6,111.9,37406,48950,,81.3
Birmingham AL,91.3,101.3,75.5,96,90.5,84.3,100.5,31445,45650,,221.8
Decatur-Hartselle AL,88.8,98,70.2,108.7,92.8,88.7,93,42867,44400,,40650
Dothan AL,87.9,101.8,80.7,87.2,91.7,83.1,87.4,42135,43950,,110900
Florence AL,91.2,96.3,81.2,101.3,93.7,86.7,94.1,35632,45600,,
Huntsville AL,94.2,100.6,79.1,105,100.1,96.6,98.5,49060,47100,,
Mobile AL,92.4,103.8,78.5,107.6,93,87.1,95.3,62292,46200,,
Montgomery AL,94.5,99.7,86.8,105.2,96.3,83.1,96.4,43702,47250,,
Anchorage AK,128.1,123,157,97.2,105,139.8,122.1,81702,64050,,
Fairbanks AK,135.4,123.1,128.1,239.4,112.7,150.6,120.2,54781,67700,,
Juneau AK,132,128.9,158,145.7,108.6,150,112.6,42135,66000,,
Kodiak AK,135.8,140,151.9,156.9,124.9,140.2,116.4,62292,67900,,
Flagstaff AZ,117.5,112.3,153.9,95.3,107.4,104.4,100.6,49711,58750,,
Bullhead City AZ,93.5,98,85.4,77.8,101.4,103,99.4,,46750,,
Lake Havasu City AZ,100.1,99.4,104.3,95.3,100.1,104.3,97.8,,50050,,
Phoenix AZ,95.9,100.3,92.4,96.6,102.9,101.5,93.4,46881,47950,,
Scottsdale AZ,113.8,104.1,143.4,91.7,101.9,102.4,105.2,,56900,,
Prescott-Prescott Valley AZ,97.6,96.3,104.7,88.4,93,94.7,97.1,,48800,,
Sierra Vista AZ,97.1,94.4,93.1,103,102.4,96.4,97.9,,48550,,
Tucson AZ,96.7,98.1,83.9,92.9,98.6,112.8,105.7,37032,48350,,
Yuma AZ,101.1,106.1,86.6,124.5,98.4,97.6,105.6,,50550,,
Fayetteville AR,89.6,93.3,79.8,103,86,90.9,93.6,36134,44800,,
Hot Springs AR,93.3,95.4,78.1,94.5,89.7,90.4,107.3,31505,46650,,
Jonesboro AR,86.8,92.7,78,85,87.7,85.1,92.4,,43400,,
Little Rock-North Little Rock AR,98.3,94.9,95.6,108.8,94.8,86.4,101.8,44896,49150,,
Orange County CA,147.1,106.8,242.1,123.4,121.4,107.4,104.1,,73550,,
Bakersfield CA,106,109.5,104,112.8,115,106.7,100.6,,53000,,
Fresno CA,105.8,104.9,101.9,127.7,109.3,102.2,101.7,,52900,,
Los Angeles-Long Beach CA,134.7,104.5,204.1,112.4,112,112.1,106.1,49497,67350,,
Oakland CA,139.6,123.5,213.4,100.8,106.4,115.8,110.2,,69800,,
Riverside City CA,115.8,115.5,130.7,113.9,114,107.2,105.2,,57900,,
Sacramento CA,112.5,116.1,117.4,114.7,110.7,111.8,106.5,49753,56250,,
San Diego CA,135,105.3,203.1,111.5,116.9,112.8,105.7,,67500,,
San Francisco CA,166.9,123.5,302.4,101.7,110.4,118.9,116.2,75604,83450,,
San Jose CA,150,119.8,245.3,125.8,111.4,116.7,106.7,,75000,,
Stockton CA,108.4,115.7,112.5,105.3,114.5,106.7,100.4,,54200,,
Tracy CA,123.6,119.8,159.2,106.5,113,104.9,106.1,,61800,,
Truckee-Nevada County CA,144.5,124.8,206.9,132.9,120.9,117.9,114.6,,72250,,
Colorado Springs CO,97.2,93.3,98.4,93.9,98.5,104,97.4,,48600,,
Denver CO,107.2,98.2,123.8,97.9,101.4,103.7,102.3,50313,53600,,
Grand Junction CO,97.1,94.4,101.1,85.2,102,104.7,95.8,,48550,,
Pueblo CO,84.6,95.2,70.2,91.3,98.4,95.7,83.6,,42300,,
Glenwood Springs CO,115.2,99.2,139.7,95,110.2,117.4,108.9,,57600,,
Gunnison CO,104.6,101.2,119.5,82.2,99.3,99.8,102.8,,52300,,
Stamford CT,144.8,116.8,207.4,127.9,118.3,110.6,122.4,,72400,,
Hartford CT,122.6,124.2,127.5,114.4,118,122.2,121.9,,61300,,
New Haven CT,127.9,122.1,144.5,117.8,120.3,118.7,123.3,,63950,,
Dover DE,101.1,108.7,84.2,111.7,102.9,102.6,108.4,,50550,,
Wilmington DE,108,106.9,109.1,114.6,104.2,99.9,108,,54000,,
Washington-Arlington-Alexandria DC-VA,141.2,109.9,245.1,97.1,104.3,96.3,98,,70600,,
Cape Coral-Fort Myers FL,98.6,107,87.6,86.5,112.9,103.7,102.4,,49300,,
Daytona Beach FL,92.7,103.5,83,92.2,100.4,95.1,93.3,,46350,,
Palm Coast-Flagler County FL,94.2,106.5,79.7,89.7,99,95.8,100.8,,47100,,
Fort Lauderdale FL,114.8,107.9,143.9,98.1,110.4,97.3,101.8,,57400,,
Gainesville FL,97.3,102.8,91.1,99.6,105.7,102.4,95.6,,48650,,
Jacksonville FL,98.1,102.3,85.4,107.4,103.8,89.6,103.3,,49050,,
Miami-Dade County FL,111.1,108.3,125,97.9,111.1,103.3,105.4,,55550,,
Sarasota FL,100.9,102,100.6,99.2,102,109.2,99.7,,50450,,
Orlando FL,99.8,101.3,93,108.6,99.1,93.2,103.5,,49900,,
Punta Gorda-Charlotte Co FL,94.3,101.7,80.4,98.7,99,107.9,98,,47150,,
Vero Beach-Indian River FL,100.1,106.7,87.9,119.7,98.8,97.5,102.6,,50050,,
