Agrium Kenai Nitrogen Operations,Agrium US Inc,Kenai Peninsula,60.6732,-151.3784,17688,5979,GAS,Alaska,AK
Alyeska Seafoods,Alyeska Seafoods Inc,Aleutians West,53.4554,-167.0261,13714,9537,OIL,Alaska,AK
Anchorage 1,Anchorage Municipal Light and Power,Anchorage,61.2328,-149.8909,53560,45889,GAS,Alaska,AK
Angoon,Inside Passage Elec Coop Inc,Juneau,58.4609,-134.1781,1831,1273,OIL,Alaska,AK
Aniak,Aniak Light & Power Co Inc,Bethel,60.9214,-159.7663,2824,2457,OIL,Alaska,AK
Annex Creek,Alaska Electric Light & Power Co,Juneau,58.4609,-134.1781,27935,0,HYDRO,Alaska,AK
Auke Bay,Alaska Electric Light & Power Co,Juneau,58.4609,-134.1781,349,303,OIL,Alaska,AK
Aurora Energy LLC Chena,Aurora Energy LLC,Fairbanks,64.8082,-146.5635,199914,347801,COAL,Alaska,AK
Barrow,Barrow Utils & Elec Coop Inc,North Slope,71.2789,-156.7981,46007,22886,GAS,Alaska,AK
Beaver Falls,Ketchikan Public Utilities,Ketchikan,55.5641,-131.3782,43247,0,HYDRO,Alaska,AK
Beluga,Chugach Electric Assn Inc,Kenai Peninsula,61.1861,-151.0356,2122331,1278037,GAS,Alaska,AK
Bernice Lake,Chugach Electric Assn Inc,Kenai Peninsula,60.6935,-151.3874,33003,33115,GAS,Alaska,AK
Bethel,Bethel Utilities Corp,Bethel,60.9214,-159.7663,41747,33536,OIL,Alaska,AK
Black Bear Lake,Alaska Power Co,Prince of Wales,55.4764,-133.1483,20316,0,HYDRO,Alaska,AK
Blue Lake,Sitka City & Borough of,Sitka,57.0516,-135.2297,52853,0,HYDRO,Alaska,AK
Bradley Lake,Homer Electric Assn Inc,Kenai Peninsula,59.7554,-150.8511,336288,0,HYDRO,Alaska,AK
Centennial,Metlakatla Power & Light,Ketchikan,55.5641,-131.3782,-66,1708,OIL,Alaska,AK
Chester Lake,Metlakatla Power & Light,Ketchikan,55.5641,-131.3782,3016,0,HYDRO,Alaska,AK
Chevak,Alaska Village Elec Coop Inc,Bethel,60.9214,-159.7663,2270,1933,OIL,Alaska,AK
Cooper Lake,Chugach Electric Assn Inc,Kenai Peninsula,59.5631,-150.2779,24303,0,HYDRO,Alaska,AK
Craig,Alaska Power Co,Prince of Wales,55.9248,-131.1379,-156,34,OIL,Alaska,AK
Delta Power,Golden Valley Electric Assn Inc,Fairbanks,64.0275,-145.7181,-127,71,OIL,Alaska,AK
Dillingham,Nushagak Electric Coop Inc,Dillingham,59.8028,-158.2207,18313,13957,OIL,Alaska,AK
Dutch Harbor,Unalaska City of,Aleutians West,53.4554,-167.0261,28820,22435,OIL,Alaska,AK
Eielson AFB Central Heat & Power Plant,US Air Force-Eielson AFB,Fairbanks,64.6711,-147.0719,77984,47009,COAL,Alaska,AK
Eklutna Hydro Project,Anchorage Municipal Light and Power,Matanuska-Susitna,62.3146,-149.5714,62105,0,HYDRO,Alaska,AK
Emmonak,Alaska Village Elec Coop Inc,Bethel,60.9214,-159.7663,2887,2008,OIL,Alaska,AK
Fairbanks,Golden Valley Electric Assn Inc,Fairbanks,64.8082,-146.5635,6877,12194,OIL,Alaska,AK
False Island,Alaska Power Co,Prince of Wales,55.9248,-131.1379,22,38,OIL,Alaska,AK
